ORCID,Author,Institution,Title,PubDate,Abstract,DOI,IDlist,flag,found_words
0000-0001-6252-7658,Matthew Baugh,"Imperial College London, Imperial College London Department of Computing",Trade-offs in Fine-tuned Diffusion Models Between Accuracy and   Interpretability,1970,"  Recent advancements in diffusion models have significantly impacted the trajectory of generative machine learning research, with many adopting the strategy of fine-tuning pre-trained models using domain-specific text-to-image datasets. Notably, this method has been readily employed for medical applications, such as X-ray image synthesis, leveraging the plethora of associated radiology reports. Yet, a prevailing concern is the lack of assurance on whether these models genuinely comprehend their generated content. With the evolution of text-conditional image generation, these models have grown potent enough to facilitate object localization scrutiny. Our research underscores this advancement in the critical realm of medical imaging, emphasizing the crucial role of interpretability. We further unravel a consequential trade-off between image fidelity as gauged by conventional metrics and model interpretability in generative diffusion models. Specifically, the adoption of learnable text encoders when fine-tuning results in diminished interpretability. Our in-depth exploration uncovers the underlying factors responsible for this divergence. Consequently, we present a set of design principles for the development of truly interpretable generative models. Code is available at https://github.com/MischaD/chest-distillation. ",Kein DOI-Link verfügbar,2303.17908v2,Yes,potent(1)
0000-0001-6252-7658,Matthew Baugh,"Imperial College London, Imperial College London Department of Computing",DISYRE: Diffusion-Inspired SYnthetic REstoration for Unsupervised   Anomaly Detection,1970,"  Unsupervised Anomaly Detection (UAD) techniques aim to identify and localize anomalies without relying on annotations, only leveraging a model trained on a dataset known to be free of anomalies. Diffusion models learn to modify inputs $x$ to increase the probability of it belonging to a desired distribution, i.e., they model the score function $\nabla_x \log p(x)$. Such a score function is potentially relevant for UAD, since $\nabla_x \log p(x)$ is itself a pixel-wise anomaly score. However, diffusion models are trained to invert a corruption process based on Gaussian noise and the learned score function is unlikely to generalize to medical anomalies. This work addresses the problem of how to learn a score function relevant for UAD and proposes DISYRE: Diffusion-Inspired SYnthetic REstoration. We retain the diffusion-like pipeline but replace the Gaussian noise corruption with a gradual, synthetic anomaly corruption so the learned score function generalizes to medical, naturally occurring anomalies. We evaluate DISYRE on three common Brain MRI UAD benchmarks and substantially outperform other methods in two out of the three tasks. ",Kein DOI-Link verfügbar,2311.15453v2,Yes,potent(1)
0000-0002-0201-4874,Wenjun Guo,Imperial College London,Different Regular Black Holes: Geodesic Structures of Test Particles,1970,"  This paper investigates the metric of previously proposed regular black holes, calculates their effective potentials, and plots the curves of the effective potentials. By determining the conserved quantities, the dynamical equations for particles and photons near the black hole are derived. The analysis encompasses timelike and null geodesics in different spacetimes, including bound geodesics, unstable circular geodesics, stable circular geodesics, and escape geodesics. The findings are presented through figures and tables. Furthermore, the bound geodesics of the four regular black hole spacetimes are analyzed, examining the average distance of particle orbits from the center of the event horizon, the precession behavior of the perihelion, and the probability of particles appearing inside the outer event horizon during motion. Based on these analyses, a general formula is proposed, which yields the existing metrics when specific parameter values are chosen. The impact of parameter variations on the effective potential and geodesics is then computed using this new formula. ",Kein DOI-Link verfügbar,2309.12932v1,Yes,potent(3)
0000-0002-0201-4874,Wenjun Guo,Imperial College London,Scalar field quasinormal modes of noncommutative high dimensional   Schwarzschild-Tangherlini black hole spacetime with smeared matter sources,1970,"  We investigate the massless scalar quasinormal modes (QNMs) of the noncommutative $D$-dimensional Schwarzschild-Tangherlini black hole spacetime in this paper. By using the Wentzel-Kramers-Brillouin (WKB) approximation method, the asymptotic iterative method (AIM) and the inverted potential method (IPM) method, we made a detail analysis of the massless scalar QNM frequencies by varying the general smeared matter distribution and the allowable characteristic parameters ($k$ and $\theta$) corresponding to different dimensions. It is found that the nonconvergence of the high order WKB approximation exists in the QNMs frequencies of scalar perturbation around the noncommutative $D$-dimensional Schwarzschild black holes. We conclude that the 3rd WKB result should be more reliable than those of the high order WKB method since our numerical results are also verified by the AIM method and the IPM method. In the dimensional range of $4\leq D \leq7$, the scalar QNMs as a function of the different papameters (the noncommutative parameter $\theta$, the smeared matter distribution parameter $k$, the multipole number $l$ and the main node number $n$) are obtained. Moreover, we study the dynamical evolution of a scalar field in the background of the noncommutative high dimensional Schwarzschild-Tangherlini black hole. ",https://doi.org/10.1016/j.nuclphysb.2020.115217,2012.00320v1,Yes,potent(1)
0000-0002-0201-4874,Wenjun Guo,Imperial College London,Quasinormal modes of scalar field coupled to Einstein's tensor in the   non-commutative geometry inspired black hole,1970,"  We investigate the quasinormal modes (QNMs) of the scalar field coupled to the Einstein's tensor in the non-commutative geometry inspired black hole spacetime. It is found that the lapse function of the non-commutative black hole metric can be represented by a Kummer's confluent hypergeometric function, which can effectively solve the problem that the numerical results of the QNMs are sensitive to the model parameters and make the QNMs values more reliable. We make a careful analysis of the scalar QNM frequencies by using several numerical methods, and find that the numerical results obtained by the new WKB method (the Pad\'e approximants) and the Mashhoon method (P$\ddot{\text{o}}$schl-Teller potential method) are quite different from those obtained by the asymptotic iterative method (AIM) and time-domain integration method when the non-commutative parameter $\theta$ and coupling parameter $\eta$ are large. The most obvious difference is that the numerical results obtained by the AIM and the time-domain integration method appear a critical value $\eta_c$ with an increase of $\eta$, which leads to the dynamical instability. After carefully analyzing the numeral results, we conclude that the numerical results obtained by the AIM and the time-domain integration method are closer to the theoretical values than those obtained by the WKB method and the Mashhoon method, when the $\theta$ and $\eta$ are large. Moreover, through a numerical fitting, we obtain that the functional relationship between the threshold $\eta_c$ and the non-commutative parameter $\theta$ satisfies $\eta_{c}=a\theta^{b}+c$ for a fixed $l$ approximately. We find that the stability of dynamics can be ensured in the $\eta<\eta_c(\theta, l)$ region. ",https://doi.org/10.1016/j.nuclphysb.2021.115595,2012.03004v2,Yes,potent(1)
0000-0002-6946-727X,Chenying Liu,"New College, University of Oxford, University of Oxford",CromSS: Cross-modal pre-training with noisy labels for remote sensing   image segmentation,1970,"  We study the potential of noisy labels y to pretrain semantic segmentation models in a multi-modal learning framework for geospatial applications. Specifically, we propose a novel Cross-modal Sample Selection method (CromSS) that utilizes the class distributions P^{(d)}(x,c) over pixels x and classes c modelled by multiple sensors/modalities d of a given geospatial scene. Consistency of predictions across sensors $d$ is jointly informed by the entropy of P^{(d)}(x,c). Noisy label sampling we determine by the confidence of each sensor d in the noisy class label, P^{(d)}(x,c=y(x)). To verify the performance of our approach, we conduct experiments with Sentinel-1 (radar) and Sentinel-2 (optical) satellite imagery from the globally-sampled SSL4EO-S12 dataset. We pair those scenes with 9-class noisy labels sourced from the Google Dynamic World project for pretraining. Transfer learning evaluations (downstream task) on the DFC2020 dataset confirm the effectiveness of the proposed method for remote sensing image segmentation. ",Kein DOI-Link verfügbar,2405.01217v1,Yes,potent(1)
0000-0002-6946-727X,Chenying Liu,"New College, University of Oxford, University of Oxford",AutoLCZ: Towards Automatized Local Climate Zone Mapping from Rule-Based   Remote Sensing,1970,"  Local climate zones (LCZs) established a standard classification system to categorize the landscape universe for improved urban climate studies. Existing LCZ mapping is guided by human interaction with geographic information systems (GIS) or modelled from remote sensing (RS) data. GIS-based methods do not scale to large areas. However, RS-based methods leverage machine learning techniques to automatize LCZ classification from RS. Yet, RS-based methods require huge amounts of manual labels for training.   We propose a novel LCZ mapping framework, termed AutoLCZ, to extract the LCZ classification features from high-resolution RS modalities. We study the definition of numerical rules designed to mimic the LCZ definitions. Those rules model geometric and surface cover properties from LiDAR data. Correspondingly, we enable LCZ classification from RS data in a GIS-based scheme. The proposed AutoLCZ method has potential to reduce the human labor to acquire accurate metadata. At the same time, AutoLCZ sheds light on the physical interpretability of RS-based methods. In a proof-of-concept for New York City (NYC) we leverage airborne LiDAR surveys to model 4 LCZ features to distinguish 10 LCZ types. The results indicate the potential of AutoLCZ as promising avenue for large-scale LCZ mapping from RS data. ",Kein DOI-Link verfügbar,2405.13993v1,Yes,potent(2)
0000-0002-6946-727X,Chenying Liu,"New College, University of Oxford, University of Oxford",Naive Gabor Networks for Hyperspectral Image Classification,1970,"  Recently, many convolutional neural network (CNN) methods have been designed for hyperspectral image (HSI) classification since CNNs are able to produce good representations of data, which greatly benefits from a huge number of parameters. However, solving such a high-dimensional optimization problem often requires a large amount of training samples in order to avoid overfitting. Additionally, it is a typical non-convex problem affected by many local minima and flat regions. To address these problems, in this paper, we introduce naive Gabor Networks or Gabor-Nets which, for the first time in the literature, design and learn CNN kernels strictly in the form of Gabor filters, aiming to reduce the number of involved parameters and constrain the solution space, and hence improve the performances of CNNs. Specifically, we develop an innovative phase-induced Gabor kernel, which is trickily designed to perform the Gabor feature learning via a linear combination of local low-frequency and high-frequency components of data controlled by the kernel phase. With the phase-induced Gabor kernel, the proposed Gabor-Nets gains the ability to automatically adapt to the local harmonic characteristics of the HSI data and thus yields more representative harmonic features. Also, this kernel can fulfill the traditional complex-valued Gabor filtering in a real-valued manner, hence making Gabor-Nets easily perform in a usual CNN thread. We evaluated our newly developed Gabor-Nets on three well-known HSIs, suggesting that our proposed Gabor-Nets can significantly improve the performance of CNNs, particularly with a small training set. ",Kein DOI-Link verfügbar,1912.03991v2,Yes,innovative(1)
0000-0002-6946-727X,Chenying Liu,"New College, University of Oxford, University of Oxford","SSL4EO-S12: A Large-Scale Multi-Modal, Multi-Temporal Dataset for   Self-Supervised Learning in Earth Observation",1970,"  Self-supervised pre-training bears potential to generate expressive representations without human annotation. Most pre-training in Earth observation (EO) are based on ImageNet or medium-size, labeled remote sensing (RS) datasets. We share an unlabeled RS dataset SSL4EO-S12 (Self-Supervised Learning for Earth Observation - Sentinel-1/2) to assemble a large-scale, global, multimodal, and multi-seasonal corpus of satellite imagery from the ESA Sentinel-1 \& -2 satellite missions. For EO applications we demonstrate SSL4EO-S12 to succeed in self-supervised pre-training for a set of methods: MoCo-v2, DINO, MAE, and data2vec. Resulting models yield downstream performance close to, or surpassing accuracy measures of supervised learning. In addition, pre-training on SSL4EO-S12 excels compared to existing datasets. We make openly available the dataset, related source code, and pre-trained models at https://github.com/zhu-xlab/SSL4EO-S12. ",Kein DOI-Link verfügbar,2211.07044v2,Yes,potent(1)
0000-0002-6946-727X,Chenying Liu,"New College, University of Oxford, University of Oxford",Deep Semantic Model Fusion for Ancient Agricultural Terrace Detection,1970,"  Discovering ancient agricultural terraces in desert regions is important for the monitoring of long-term climate changes on the Earth's surface. However, traditional ground surveys are both costly and limited in scale. With the increasing accessibility of aerial and satellite data, machine learning techniques bear large potential for the automatic detection and recognition of archaeological landscapes. In this paper, we propose a deep semantic model fusion method for ancient agricultural terrace detection. The input data includes aerial images and LiDAR generated terrain features in the Negev desert. Two deep semantic segmentation models, namely DeepLabv3+ and UNet, with EfficientNet backbone, are trained and fused to provide segmentation maps of ancient terraces and walls. The proposed method won the first prize in the International AI Archaeology Challenge. Codes are available at https://github.com/wangyi111/international-archaeology-ai-challenge. ",Kein DOI-Link verfügbar,2308.02225v1,Yes,potent(1)
