ORCID,Author,Institution,Title,PubDate,Abstract,DOI,IDlist,flag,found_words
0009-0002-6642-6904,Florian Adamsky,Hochschule Hof,Smartphones in a Microwave: Formal and Experimental Feasibility Study on   Fingerprinting the Corona-Warn-App,1970,"  Contact Tracing Apps (CTAs) have been developed to contain the coronavirus disease 19 (COVID-19) spread. By design, such apps invade their users' privacy by recording data about their health, contacts, and partially location. Many CTAs frequently broadcast pseudorandom numbers via Bluetooth to detect encounters. These numbers are changed regularly to prevent individual smartphones from being trivially trackable. However, the effectiveness of this procedure has been little studied. We measured real smartphones and observed that the German Corona-Warn-App (CWA) exhibits a device-specific latency between two subsequent broadcasts. These timing differences provide a potential attack vector for fingerprinting smartphones by passively recording Bluetooth messages. This could conceivably lead to the tracking of users' trajectories and, ultimately, the re-identification of users. ",https://doi.org/10.1145/3600160.3605011,2307.02931v1,Yes,potent(1)
0000-0003-3147-9125,Sebastian Fischer,Regensburg Universität der Angewandte Wissenschaften,"Go-Smart: Open-Ended, Web-Based Modelling of Minimally Invasive Cancer   Treatments via a Clinical Domain Approach",1970,"  Clinicians benefit from online treatment planning systems, through off-site accessibility, data sharing and professional interaction. As well as enhancing clinical value, incorporation of simulation tools affords innovative avenues for open-ended, multi-disciplinary research collaboration. An extensible system for clinicians, technicians, manufacturers and researchers to build on a simulation framework is presented. This is achieved using a domain model that relates entities from theoretical, engineering and clinical domains, allowing algorithmic generation of simulation configuration for several open source solvers.   The platform is applied to Minimally Invasive Cancer Treatments (MICTs), allowing interventional radiologists to upload patient data, segment patient images and validate simulated treatments of radiofrequency ablation, cryoablation, microwave ablation and irreversible electroporation. A traditional radiology software layout is provided in-browser for clinical use, with simple, guided simulation, primarily for training and research. Developers and manufacturers access a web-based system to manage their own simulation components (equipment, numerical models and clinical protocols) and related parameters.   This system is tested by interventional radiologists at four centres, using pseudonymized patient data, as part of the Go-Smart Project (http://gosmart-project.eu). The simulation technology is released as a set of open source components http://github.com/go-smart. ",Kein DOI-Link verfügbar,1803.09166v1,Yes,innovative(1)
0000-0002-1440-1652,Michael Sterner,Regensburg Universität der Angewandte Wissenschaften,The impact of temporal hydrogen regulation on hydrogen exporters and   their domestic energy transition,1970,"  As global demand for green hydrogen rises, potential hydrogen exporters move into the spotlight. However, the large-scale installation of on-grid hydrogen electrolysis for export can have profound impacts on domestic energy prices and energy-related emissions. Our investigation explores the interplay of hydrogen exports, domestic energy transition and temporal hydrogen regulation, employing a sector-coupled energy model in Morocco. We find substantial co-benets of domestic climate change mitigation and hydrogen exports, whereby exports can reduce domestic electricity prices while mitigation reduces hydrogen export prices. However, increasing hydrogen exports quickly in a system that is still dominated by fossil fuels can substantially raise domestic electricity prices, if green hydrogen production is not regulated. Surprisingly, temporal matching of hydrogen production lowers domestic electricity cost by up to 31% while the effect on exporters is minimal. This policy instrument can steer the welfare (re-)distribution between hydrogen exporting firms, hydrogen importers, and domestic electricity consumers and hereby increases acceptance among actors. ",Kein DOI-Link verfügbar,2405.14717v1,Yes,potent(1)
0000-0002-1492-1121,Herag Arabian,"Hochschule Furtwangen, Institute der Technical Medicine, Furtwangen Universität",Surgical tool classification and localization: results and methods from   the MICCAI 2022 SurgToolLoc challenge,1970,"  The ability to automatically detect and track surgical instruments in endoscopic videos can enable transformational interventions. Assessing surgical performance and efficiency, identifying skilled tool use and choreography, and planning operational and logistical aspects of OR resources are just a few of the applications that could benefit. Unfortunately, obtaining the annotations needed to train machine learning models to identify and localize surgical tools is a difficult task. Annotating bounding boxes frame-by-frame is tedious and time-consuming, yet large amounts of data with a wide variety of surgical tools and surgeries must be captured for robust training. Moreover, ongoing annotator training is needed to stay up to date with surgical instrument innovation. In robotic-assisted surgery, however, potentially informative data like timestamps of instrument installation and removal can be programmatically harvested. The ability to rely on tool installation data alone would significantly reduce the workload to train robust tool-tracking models. With this motivation in mind we invited the surgical data science community to participate in the challenge, SurgToolLoc 2022. The goal was to leverage tool presence data as weak labels for machine learning models trained to detect tools and localize them in video frames with bounding boxes. We present the results of this challenge along with many of the team's efforts. We conclude by discussing these results in the broader context of machine learning and surgical data science. The training data used for this challenge consisting of 24,695 video clips with tool presence labels is also being released publicly and can be accessed at https://console.cloud.google.com/storage/browser/isi-surgtoolloc-2022. ",Kein DOI-Link verfügbar,2305.07152v2,Yes,potent(1)
0009-0005-6858-9813,Sergej Schultenkämper,Hochschule Bielefeld,"WisPerMed at ""Discharge Me!"": Advancing Text Generation in Healthcare   with Large Language Models, Dynamic Expert Selection, and Priming Techniques   on MIMIC-IV",1970,"  This study aims to leverage state of the art language models to automate generating the ""Brief Hospital Course"" and ""Discharge Instructions"" sections of Discharge Summaries from the MIMIC-IV dataset, reducing clinicians' administrative workload. We investigate how automation can improve documentation accuracy, alleviate clinician burnout, and enhance operational efficacy in healthcare facilities. This research was conducted within our participation in the Shared Task Discharge Me! at BioNLP @ ACL 2024. Various strategies were employed, including few-shot learning, instruction tuning, and Dynamic Expert Selection (DES), to develop models capable of generating the required text sections. Notably, utilizing an additional clinical domain-specific dataset demonstrated substantial potential to enhance clinical language processing. The DES method, which optimizes the selection of text outputs from multiple predictions, proved to be especially effective. It achieved the highest overall score of 0.332 in the competition, surpassing single-model outputs. This finding suggests that advanced deep learning methods in combination with DES can effectively automate parts of electronic health record documentation. These advancements could enhance patient care by freeing clinician time for patient interactions. The integration of text selection strategies represents a promising avenue for further research. ",Kein DOI-Link verfügbar,2405.11255v1,Yes,potent(1)
0000-0002-1822-7954,Lilia Sabantina,Bielefeld Universität der Angewandte Wissenschaften,Nonclassical Attack on a Quantum KeyDistribution System,1970,"  The article is focused on research of an attack on the quantum key distribution system and proposes a countermeasure method. Particularly noteworthy is that this is not a classic attack on a quantum protocol. We describe an attack on the process of calibration. Results of the research show that quantum key distribution systems have vulnerabilities not only in the protocols, but also in other vital system components. The described type of attack does not affect the cryptographic strength of the received keys and does not point to the vulnerability of the quantum key distribution protocol. We also propose a method for autocompensating optical communication system development, which protects synchronization from unauthorized access. The proposed method is based on the use of sync pulses attenuated to a photon level in the process of detecting a time interval with a signal. The paper presents the results of experimental studies that show the discrepancies between the theoretical and real parameters of the system. The obtained data allow the length of the quantum channel to be calculated with high accuracy. ",https://doi.org/10.3390/e23050509,2104.13720v1,Yes,noteworthy(1)
0000-0003-1771-407X,Anant Patel,Bielefeld Universität der Angewandte Wissenschaften and Arts,BlockChain and Decentralized Apps,1970,"  Blockchain, the backbone of Bitcoin, has recently gained a lot of attention. Blockchain functions as an immutable record that enables decentralized transactions. Blockchain-based applications are sprouting up in a variety of industries, including financial services, reputation systems, and the Internet of Things (IoT), among others. However, many hurdles of blockchain technology, including scalability and security issues, have to be overcome. Many industries, including finance, medicine, manufacturing, and education, use blockchain applications to capitalize on this technology's unique set of properties. Blockchain technology (BT) has the potential to improve trustworthiness, collaboration, organization, identity, credibility, and transparency. We provide an overview of blockchain architecture, various different kinds of blockchain as well as information about the Decentralized apps which are also known as Dapps. This paper provides an in-depth look at blockchain technology ",Kein DOI-Link verfügbar,2303.12536v1,Yes,potent(1)
0000-0001-9143-2121,Maximilian Wolf,Hochschule Albstadt-Sigmaringen,Systematic Evaluation of Synthetic Data Augmentation for Multi-class   NetFlow Traffic,1970,"  The detection of cyber-attacks in computer networks is a crucial and ongoing research challenge. Machine learning-based attack classification offers a promising solution, as these models can be continuously updated with new data, enhancing the effectiveness of network intrusion detection systems (NIDS). Unlike binary classification models that simply indicate the presence of an attack, multi-class models can identify specific types of attacks, allowing for more targeted and effective incident responses. However, a significant drawback of these classification models is their sensitivity to imbalanced training data. Recent advances suggest that generative models can assist in data augmentation, claiming to offer superior solutions for imbalanced datasets. Classical balancing methods, although less novel, also provide potential remedies for this issue. Despite these claims, a comprehensive comparison of these methods within the NIDS domain is lacking. Most existing studies focus narrowly on individual methods, making it difficult to compare results due to varying experimental setups. To close this gap, we designed a systematic framework to compare classical and generative resampling methods for class balancing across multiple popular classification models in the NIDS domain, evaluated on several NIDS benchmark datasets. Our experiments indicate that resampling methods for balancing training data do not reliably improve classification performance. Although some instances show performance improvements, the majority of results indicate decreased performance, with no consistent trend in favor of a specific resampling technique enhancing a particular classifier. ",Kein DOI-Link verfügbar,2408.16034v1,Yes,potent(1)
0000-0003-2119-9461,Klaus Morawetz,FH Münster,Reversed Currents in Charged Liquid Bridges,1970,"  The velocity profile in a water bridge is reanalyzed. Assuming hypothetically that the bulk charge has a radial distribution, a surface potential is formed that is analogous to the Zeta potential. The Navier Stokes equation is solved, neglecting the convective term; then, analytically and for special field and potential ranges, a sign change of the total mass flow is reported caused by the radial charge distribution. ",https://doi.org/10.3390/w9050353,1705.06228v1,Yes,potent(3)
0000-0003-2119-9461,Klaus Morawetz,FH Münster,Electric field dependence of pairing temperature and tunneling,1970,"  Using the Bethe-Salpeter equation including high electric fields, the dependence of the critical temperature of onsetting superconductivity on the applied field is calculated analytically. The critical temperature of pairing is shown to increase with the applied field strength. This is a new field effect and could contribute to the explanation of recent experiments on field induced superconductivity. From the field dependence of the Bethe-Salpeter equation, the two--particle bound state solution is obtained as a resonance with a tunneling probability analogous to the WKB solution of a single particle confined in a potential and coupled to the electrical field. ",https://doi.org/10.1103/PhysRevB.66.172508,cond-mat/0111450v3,Yes,potent(1)
