ORCID,Author,Institution,Title,PubDate,Abstract,DOI,IDlist,flag,found_words
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)",Consistent coupling of positions and rotations for embedding 1D Cosserat   beams into 3D solid volumes,1970,"  This article proposes a mortar type finite element formulation for consistently embedding curved, slender beams, i.e. 1D Cosserat continua, into 3D solid volumes. A consistent 1D-3D coupling scheme for this problem type is proposed, which enforces both positional and rotational constraints. Since Boltzmann continua exhibit no inherent rotational degrees of freedom, suitable definitions of orthonormal triads are investigated that are representative for the orientation of material directions in the 3D solid. The rotation tensor defined by the polar decomposition of the deformation gradient is demonstrated to represent these material directions in a L2-optimal manner. Subsequently, objective rotational coupling constraints between beam and solid are formulated and enforced in a variationally consistent framework. Eventually, finite element discretization of all primary fields results in an embedded mortar formulation for rotational and translational constraint enforcement. Based on carefully chosen numerical test cases, the proposed scheme is demonstrated to exhibit a consistent spatial convergence behavior and to offer the up-scaling potential for studying real-life engineering applications such as fiber-reinforced composite materials. ",https://doi.org/10.1007/s00466-021-02111-4,2107.11151v1,Yes,potent(1)
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)",A novel mesh regularization approach based on finite element distortion   potentials: Application to material expansion processes with extreme volume   change,1970,"  The accuracy of finite element solutions is closely tied to the mesh quality. In particular, geometrically nonlinear problems involving large and strongly localized deformations often result in prohibitively large element distortions. In this work, we propose a novel mesh regularization approach allowing to restore a non-distorted high-quality mesh in an adaptive manner without the need for expensive re-meshing procedures. The core idea of this approach lies in the definition of a finite element distortion potential considering contributions from different distortion modes such as skewness and aspect ratio of the elements. The regularized mesh is found by minimization of this potential. Moreover, based on the concept of spatial localization functions, the method allows to specify tailored requirements on mesh resolution and quality for regions with strongly localized mechanical deformation and mesh distortion. In addition, while existing mesh regularization schemes often keep the boundary nodes of the discretization fixed, we propose a mesh-sliding algorithm based on variationally consistent mortar methods allowing for an unrestricted tangential motion of nodes along the problem boundary. Especially for problems involving significant surface deformation (e.g., frictional contact), this approach allows for an improved mesh relaxation as compared to schemes with fixed boundary nodes. To transfer data such as tensor-valued history variables of the material model from the old (distorted) to the new (regularized) mesh, a structure-preserving invariant interpolation scheme for second-order tensors is employed, which has been proposed in our previous work and is designed to preserve important mechanical properties of tensor-valued data such as objectivity and positive definiteness... {continued see pdf} ",Kein DOI-Link verfügbar,2307.07582v2,Yes,potent(2)
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)","Generalized Section-Section Interaction Potentials in the Geometrically   Exact Beam Theory: Modeling of Intermolecular Forces, Asymptotic Limit as   Strain-Energy Function, and Formulation of Rotational Constraints",1970,"  The present contribution proposes a universal framework to formulate generalized section-section interaction potentials (SSIP) within the geometrically exact beam theory. By exploiting the fundamental kinematic assumption of undeformable cross-sections, an objective (i.e., frame-invariant) description of SSIPs via a minimal set of six (translational and rotational) relative coordinates, either in spatial or in material form, is proposed. Based on work-pairing, work-conjugated section-section interaction forces and moments, either in spatial or in material form, are identified that can be consistently derived from a variational principle. Interestingly, it is shown that hyperelastic stored-energy functions relating the deformation measures and stress-resultants of the well-known geometrically exact Simo-Reissner beam theory can also be identified as SSIPs when considering the asymptotic limit of small relative distances and rotations between the interacting cross-sections. Moreover, the proposed variational problem formulation is demonstrated to be of a very general nature, thus allowing for the formulation of translational and rotational constraints between arbitrarily oriented cross-sections based on either a penalty or a Lagrange multiplier potential. Possible applications include fiber-based structures and materials in technical and biological systems, where the proposed approach allows to model short- or long-ranged inter-molecular (e.g., electrostatic, van der Waals or repulsive steric) interactions between fibers in geometrically complex arrangements and to formulate translational and rotational coupling constraints between different fibers (e.g., cross-linked polymer chains) or between fibers and a matrix phase (e.g., fiber-reinforced composites). ",Kein DOI-Link verfügbar,2105.10032v2,Yes,potent(2)
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)",From RAGs to riches: Using large language models to write documents for   clinical trials,1970,"  Clinical trials require numerous documents to be written -- protocols, consent forms, clinical study reports and others. Large language models (LLMs) offer the potential to rapidly generate first versions of these documents, however there are concerns about the quality of their output Here we report an evaluation of LLMs in generating parts of one such document, clinical trial protocols. We find that an offthe-shelf LLM delivers reasonable results, especially when assessing content relevance and the correct use of terminology. However, deficiencies remain: specifically clinical thinking and logic, and appropriate use of references. To improve performance, we used retrieval-augmented generation (RAG) to prompt an LLM with accurate up-to-date information. As a result of using RAG, the writing quality of the LLM improves substantially, which has implications for the practical useability of LLMs in clinical trial-related writing. ",Kein DOI-Link verfügbar,2402.16406v1,Yes,potent(1)
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)","Analytical disk-cylinder interaction potential laws for the   computational modeling of adhesive, deformable (nano)fibers",1970,"  The analysis of complex fibrous systems or materials on the micro- and nanoscale, which have a high practical relevance for many technical or biological systems, requires accurate analytical descriptions of the adhesive and repulsive forces acting on the fiber surfaces. While such analytical expressions are generally needed both for theoretical studies and for computer-based simulations, the latter motivates us here to derive disk-cylinder interaction potential laws that are valid for arbitrary mutual orientations in the decisive regime of small surface separations. The chosen type of fundamental point-pair interaction follows the simple Lennard-Jones model with inverse power laws for both the adhesive van der Waals part and the steric, repulsive part. We present three different solutions, ranging from highest accuracy to the best trade-off between simplicity of the expression and sufficient accuracy for our intended use. The validity of simplifying approximations and the accuracy of the derived potential laws is thoroughly analyzed, using both numerical and analytical reference solutions for specific interaction cases. Most importantly, the correct asymptotic scaling behavior in the decisive regime of small separations is achieved, and also the theoretically predicted $(1\!/\!\sin\!\alpha)$-angle dependence (for non-parallel cylinders) is obtained by the proposed analytical solutions. As we show in the outlook to our current research, the derived analytical disk-cylinder interaction potential laws may be used to formulate highly efficient computational models for the interaction of arbitrarily curved fibers, such that the disk represents the cross-section of the first and the cylinder a local approximation to the shape of the second fiber. ",Kein DOI-Link verfügbar,2208.03074v3,Yes,potent(3)
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)","A Computational Model for Molecular Interactions Between Curved Slender   Fibers Undergoing Large 3D Deformations With a Focus on Electrostatic, van   der Waals and Repulsive Steric Forces",1970,"  This contribution proposes the first 3D beam-to-beam interaction model for molecular interactions between curved slender fibers undergoing large deformations. While the general model is not restricted to a specific beam formulation, in the present work it is combined with the geometrically exact beam theory and discretized via the finite element method. A direct evaluation of the total interaction potential for general 3D bodies requires the integration of contributions from molecule or charge distributions over the volumes of the interaction partners, leading to a 6D integral (two nested 3D integrals) that has to be solved numerically. Here, we propose a novel strategy to formulate reduced section-to-section interaction laws for the resultant interaction potential between a pair of cross-sections of two slender fibers such that only two 1D integrals along the fibers' length directions have to be solved numerically. This section-to-section interaction potential (SSIP) approach yields a significant gain in efficiency, which is essential to enable the simulation of relevant time and length scales for many practical applications. In a first step, the generic structure of SSIP laws, which is suitable for the most general interaction scenario (e.g. fibers with arbitrary cross-section shape and inhomogeneous atomic/charge density within the cross-section) is presented. Assuming circular, homogeneous cross-sections, in a next step, specific analytical expressions for SSIP laws describing short-range volume interactions (e.g. van der Waals or steric interactions) and long-range surface interactions (e.g. Coulomb interactions) are proposed. The validity of the SSIP laws as well as the accuracy and robustness of the general SSIP approach to beam-to-beam interactions is thoroughly verified by means of a set of numerical examples considering steric repulsion, electrostatic or van der Waals adhesion. ",Kein DOI-Link verfügbar,1907.12997v2,Yes,potent(3)
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)",Asymptotically consistent and computationally efficient modeling of   short-ranged molecular interactions between curved slender fibers undergoing   large 3D deformations,1970,"  This article proposes a novel computational modeling approach for short-ranged molecular interactions between curved slender fibers undergoing large 3D deformations, and gives a detailed overview how it fits into the framework of existing fiber or beam interaction models, either considering microscale molecular or macroscale contact effects. The direct evaluation of a molecular interaction potential between two general bodies in 3D space would require to integrate molecule densities over two 3D volumes, leading to a sixfold integral to be solved numerically. By exploiting the short-range nature of the considered class of interaction potentials as well as the fundamental kinematic assumption of undeformable fiber cross-sections, as typically applied in mechanical beam theories, a recently derived, closed-form analytical solution is applied for the interaction potential between a given section of the first fiber (slave beam) and the entire second fiber (master beam). This novel approach based on a pre-defined section-beam interaction potential (SBIP) requires only one single integration step along the slave beam length to be performed numerically. In terms of accuracy, the total beam-beam interaction potential resulting from this approach is shown to exhibit an asymptotically consistent angular and distance scaling behavior. In addition to elementary two-fiber systems, carefully chosen to verify accuracy and asymptotic consistence of the proposed SBIP approach, a potential practical application in form of adhesive nanofiber-grafted surfaces is studied. Involving a large number of helicoidal fibers undergoing large 3D deformations, arbitrary mutual fiber orientations as well as frequent local fiber pull-off and snap-into-contact events, this example demonstrates the robustness and computational efficiency of the new approach. ",Kein DOI-Link verfügbar,2208.03149v4,Yes,potent(6)
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)","Thermophysical Phenomena in Metal Additive Manufacturing by Selective   Laser Melting: Fundamentals, Modeling, Simulation and Experimentation",1970,"  Among the many additive manufacturing (AM) processes for metallic materials, selective laser melting (SLM) is arguably the most versatile in terms of its potential to realize complex geometries along with tailored microstructure. However, the complexity of the SLM process, and the need for predictive relation of powder and process parameters to the part properties, demands further development of computational and experimental methods. This review addresses the fundamental physical phenomena of SLM, with a special emphasis on the associated thermal behavior. Simulation and experimental methods are discussed according to three primary categories. First, macroscopic approaches aim to answer questions at the component level and consider for example the determination of residual stresses or dimensional distortion effects prevalent in SLM. Second, mesoscopic approaches focus on the detection of defects such as excessive surface roughness, residual porosity or inclusions that occur at the mesoscopic length scale of individual powder particles. Third, microscopic approaches investigate the metallurgical microstructure evolution resulting from the high temperature gradients and extreme heating and cooling rates induced by the SLM process. Consideration of physical phenomena on all of these three length scales is mandatory to establish the understanding needed to realize high part quality in many applications, and to fully exploit the potential of SLM and related metal AM processes. ",https://doi.org/10.1615/AnnualRevHeatTransfer.2018019042,1709.09510v1,Yes,"versatile(1), potent(2)"
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)",A novel smoothed particle hydrodynamics and finite element coupling   scheme for fluid-structure interaction: the sliding boundary particle   approach,1970,"  A novel numerical formulation for solving fluid-structure interaction (FSI) problems is proposed where the fluid field is spatially discretized using smoothed particle hydrodynamics (SPH) and the structural field using the finite element method (FEM). As compared to fully mesh- or grid-based FSI frameworks, due to the Lagrangian nature of SPH this framework can be easily extended to account for more complex fluids consisting of multiple phases and dynamic phase transitions. Moreover, this approach facilitates the handling of large deformations of the fluid domain respectively the fluid-structure interface without additional methodological and computational efforts. In particular, to achieve an accurate representation of interaction forces between fluid particles and structural elements also for strongly curved interface geometries, the novel sliding boundary particle approach is proposed to ensure full support of SPH particles close to the interface. The coupling of the fluid and the structural field is based on a Dirichlet-Neumann partitioned approach, where the fluid field is the Dirichlet partition with prescribed interface displacements and the structural field is the Neumann partition subject to interface forces. To overcome instabilities inherent to weakly coupled schemes an iterative fixed-point coupling scheme is employed. Several numerical examples in form of well-known benchmark tests are considered to validate the accuracy, stability, and robustness of the proposed formulation. Finally, the filling process of a highly flexible thin-walled balloon-like container is studied, representing a model problem close to potential application scenarios of the proposed scheme in the field of biomechanics. ",https://doi.org/10.1016/j.cma.2021.113922,2010.09526v2,Yes,potent(1)
0000-0002-3501-1696,Christoph Meier,"Massachusetts Institute of Technology (MIT), Technical University of Munich (TUM)",An SPH framework for fluid-solid and contact interaction problems   including thermo-mechanical coupling and reversible phase transitions,1970,"  The present work proposes an approach for fluid-solid and contact interaction problems including thermo-mechanical coupling and reversible phase transitions. The solid field is assumed to consist of several arbitrarily-shaped, undeformable but mobile rigid bodies, that are evolved in time individually and allowed to get into mechanical contact with each other. The fluid field generally consists of multiple liquid or gas phases. All fields are spatially discretized using the method of smoothed particle hydrodynamics (SPH). This approach is especially suitable in the context of continually changing interface topologies and dynamic phase transitions without the need for additional methodological and computational effort for interface tracking as compared to mesh- or grid-based methods. Proposing a concept for the parallelization of the computational framework, in particular concerning a computationally efficient evaluation of rigid body motion, is an essential part of this work. Finally, the accuracy and robustness of the proposed framework is demonstrated by several numerical examples in two and three dimensions, involving multiple rigid bodies, two-phase flow, and reversible phase transitions, with a focus on two potential application scenarios in the fields of engineering and biomechanics: powder bed fusion additive manufacturing (PBFAM) and disintegration of food boluses in the human stomach. The efficiency of the parallel computational framework is demonstrated by a strong scaling analysis. ",https://doi.org/10.1186/s40323-021-00200-w,2103.07925v1,Yes,potent(1)
