ORCID,Author,Institution,Title,PubDate,Abstract,DOI,IDlist,flag,found_words
0009-0002-6642-6904,Florian Adamsky,Hochschule Hof,Smartphones in a Microwave: Formal and Experimental Feasibility Study on   Fingerprinting the Corona-Warn-App,2023,"  Contact Tracing Apps (CTAs) have been developed to contain the coronavirus disease 19 (COVID-19) spread. By design, such apps invade their users' privacy by recording data about their health, contacts, and partially location. Many CTAs frequently broadcast pseudorandom numbers via Bluetooth to detect encounters. These numbers are changed regularly to prevent individual smartphones from being trivially trackable. However, the effectiveness of this procedure has been little studied. We measured real smartphones and observed that the German Corona-Warn-App (CWA) exhibits a device-specific latency between two subsequent broadcasts. These timing differences provide a potential attack vector for fingerprinting smartphones by passively recording Bluetooth messages. This could conceivably lead to the tracking of users' trajectories and, ultimately, the re-identification of users. ",https://doi.org/10.1145/3600160.3605011,2307.02931v1,Yes,potent(1)
0000-0002-7740-1967,Marcus Wagner,OTH Regensburg,Optimal control of the bidomain system (IV): Corrected proofs of the   stability and regularity theorems,2014,"  In a series of papers on optimal control problems for the monodomain as well as for the bidomain equations of cardiac electrophysiology, the authors studied existence of minimizers and derived first-order necessary optimality conditions. The analysis of these control problems is based on a regularity discussion for weak solutions, resulting in a stability estimate and a uniqueness theorem for the monodomain and bidomain system, respectively. Unfortunately, the authors recognized a serious error within the proof of these theorems. However, the present investigation shows that the assertions from [Kunisch/Wagner 12] and [Kunisch/Wagner 13a] can be maintained (with minor changes only) while the proofs must be subjected to considerable alterations. As a consequence, the optimization theorems from [Kunisch/Wagner 13b] allow for substantial improvements. Therefore, in the present paper we provide a refined regularity discussion of the bidomain system together with corrected proofs. ",Kein DOI-Link verfügbar,1409.6904v2,No,
0000-0003-3147-9125,Sebastian Fischer,Regensburg Universität der Angewandte Wissenschaften,Sound Absorption and Dispersion in Dilute Polyatomic Gases: A   Generalized Kinetic Approach,2013,  A generalized kinetic model equation which takes into account the frequency depence of the thermal conductivity is used to analyze the problem of sound propagation in dilute polyatomic gases. By comparing the theoretical results with some available experimental data we infer that our model equation provides a precise transition between low and high-frequency limits. ,https://doi.org/10.1088/1742-5468/2013/08/P08004,1304.2480v3,No,
0000-0003-3147-9125,Sebastian Fischer,Regensburg Universität der Angewandte Wissenschaften,Pay More Attention - Neural Architectures for Question-Answering,2018,"  Machine comprehension is a representative task of natural language understanding. Typically, we are given context paragraph and the objective is to answer a question that depends on the context. Such a problem requires to model the complex interactions between the context paragraph and the question. Lately, attention mechanisms have been found to be quite successful at these tasks and in particular, attention mechanisms with attention flow from both context-to-question and question-to-context have been proven to be quite useful. In this paper, we study two state-of-the-art attention mechanisms called Bi-Directional Attention Flow (BiDAF) and Dynamic Co-Attention Network (DCN) and propose a hybrid scheme combining these two architectures that gives better overall performance. Moreover, we also suggest a new simpler attention mechanism that we call Double Cross Attention (DCA) that provides better results compared to both BiDAF and Co-Attention mechanisms while providing similar performance as the hybrid scheme. The objective of our paper is to focus particularly on the attention layer and to suggest improvements on that. Our experimental evaluations show that both our proposed models achieve superior results on the Stanford Question Answering Dataset (SQuAD) compared to BiDAF and DCN attention mechanisms. ",Kein DOI-Link verfügbar,1803.09230v1,No,
0000-0003-3147-9125,Sebastian Fischer,Regensburg Universität der Angewandte Wissenschaften,On the shape of barchan dunes,2005,"  Barchans are crescent-shaped sand dunes forming in aride regions with unidirectional wind and limited sand supply. We report analytical and numerical results for dune shapes under different environmental conditions as obtained from the so-called `minimal model' of aeolian sand dunes. The profiles of longitudinal vertical slices (i.e. along the wind direction) are analyzed as a function of wind speed and sand supply. Shape transitions can be induced by changes of mass, wind speed and sand supply. Within a minimal extension of the model to the transverse direction the scale-invariant profile of transverse vertical cuts can be derived analytically. ",https://doi.org/10.1088/0953-8984/17/14/012,cond-mat/0501152v1,No,
0000-0003-3147-9125,Sebastian Fischer,Regensburg Universität der Angewandte Wissenschaften,Salt-Induced Counterion-Mobility Anomaly in Polyelectrolyte   Electrophoresis,2009,"  We study the electrokinetics of a single polyelectrolyte chain in salt solution using hydrodynamic simulations. The salt-dependent chain mobility compares well with experimental DNA data. The mobility of condensed counterions exhibits a salt-dependent change of sign, an anomaly that is also reflected in the counterion excess conductivity. Using Green's function techniques this anomaly is explained by electrostatic screening of the hydrodynamic interactions between chain and counterions. ",https://doi.org/10.1103/PhysRevLett.101.176103,0905.3853v1,No,
0000-0003-3147-9125,Sebastian Fischer,Regensburg Universität der Angewandte Wissenschaften,The central kpc of edge-on AGN,2013,"  The NIR is less influenced by dust extinction than optical light. This enables us to look to an extent through dusty regions. In addition, it is sensitive to the mass-dominating stellar population. The combination of NIR imaging and spectroscopy of the VLT integral field spectrograph SINFONI gives us the opportunity to analyze several emission and absorption lines and to investigate the stellar population and ionization mechanisms over a field of view (FOV) of 4x4 square arcsec. We detect several emission lines ([Si VI], Pa\alpha, Br\gamma, H_2, [Fe II]) and analyze these to disentangle the ionization mechanisms and the kinematics of the gas. We use the absorption features of Si I, CO(6-3) and CO(2-0) and the large wavelength range of H+K-band for a thorough continuum synthesis. We fit a stellar, dust and power-law contribution together with an extinction component to the H+K-band emission. The result presents regions dominated by the different contributors and extinction information over the full FOV. ",Kein DOI-Link verfügbar,1305.4938v1,No,
0000-0003-3147-9125,Sebastian Fischer,Regensburg Universität der Angewandte Wissenschaften,GPTopic: Dynamic and Interactive Topic Representations,2024,"  Topic modeling seems to be almost synonymous with generating lists of top words to represent topics within large text corpora. However, deducing a topic from such list of individual terms can require substantial expertise and experience, making topic modelling less accessible to people unfamiliar with the particularities and pitfalls of top-word interpretation. A topic representation limited to top-words might further fall short of offering a comprehensive and easily accessible characterization of the various aspects, facets and nuances a topic might have. To address these challenges, we introduce GPTopic, a software package that leverages Large Language Models (LLMs) to create dynamic, interactive topic representations. GPTopic provides an intuitive chat interface for users to explore, analyze, and refine topics interactively, making topic modeling more accessible and comprehensive. The corresponding code is available here: https://github.com/ArikReuter/TopicGPT. ",Kein DOI-Link verfügbar,2403.03628v2,No,
0000-0003-3147-9125,Sebastian Fischer,Regensburg Universität der Angewandte Wissenschaften,Monitoring of tritium purity during long-term circulation in the KATRIN   test experiment LOOPINO using laser Raman spectroscopy,2012,"  The gas circulation loop LOOPINO has been set up and commissioned at Tritium Laboratory Karlsruhe (TLK) to perform Raman measurements of circulating tritium mixtures under conditions similar to the inner loop system of the neutrino-mass experiment KATRIN, which is currently under construction. A custom-made interface is used to connect the tritium containing measurement cell, located inside a glove box, with the Raman setup standing on the outside. A tritium sample (purity > 95%, 20 kPa total pressure) was circulated in LOOPINO for more than three weeks with a total throughput of 770 g of tritium. Compositional changes in the sample and the formation of tritiated and deuterated methanes CT_(4-n)X_n (X=H,D; n=0,1) were observed. Both effects are caused by hydrogen isotope exchange reactions and gas-wall interactions, due to tritium {\beta} decay. A precision of 0.1% was achieved for the monitoring of the T_2 Q_1-branch, which fulfills the requirements for the KATRIN experiment and demonstrates the feasibility of high-precision Raman measurements with tritium inside a glove box. ",Kein DOI-Link verfügbar,1208.1605v1,No,
0000-0003-3147-9125,Sebastian Fischer,Regensburg Universität der Angewandte Wissenschaften,The nuclear radio structure of X-ray bright AGN,2008,"  The physical nature of the X-ray/radio correlation of AGN is still an unsolved question. High angular resolution observations are necessary to disentangle the associated energy dynamics into nuclear and stellar components. We present MERLIN/EVN 18cm observations of 13 X-raying AGN. The sample consists of Seyfert 1, Narrow Line Seyfert 1, and LINER-like galaxies. We find that for all objects the radio emission is unresolved and that the radio luminosities and brightness temperatures are too high for star formation to play an important role. This indicates that the radio emission in these sources is closely connected to processes that occur in the vicinity of the central massive black hole, also where the X-ray emission is believed to originate in. ",https://doi.org/10.1088/1742-6596/131/1/012042,0806.3947v1,No,
