IDlist,FlagPDF,TotalWordsPDF,AvgWordsSentencePDF,Year,Keyword,Count_PDF,Count_Abs,FlagAbs,AvgWordsSentenceAbs,TotalWordsAbs
2210.05093v1,No,4125,11.178861788617889,2022,commendable,0,0,No,15.3,153
2303.15275v1,No,5462,10.44359464627151,2023,commendable,0,0,No,14.222222222222221,128
2112.09493v1,No,11368,9.68313458262351,2021,commendable,0,0,No,16.77777777777778,151
1102.3306v1,Yes,8101,12.677621283255084,2011,commendable,0,0,No,13.5,54
2005.10499v1,Yes,9450,7.435090479937058,2020,commendable,0,0,No,18.4,184
2110.06020v2,Yes,13554,10.564302416212003,2021,commendable,0,0,No,24.7,247
2107.12248v1,No,6481,11.271304347826089,2021,commendable,0,0,No,20.875,167
0809.3071v1,Yes,1680,15.849056603773583,2008,commendable,0,0,No,17.166666666666668,103
1906.00695v4,Yes,15712,11.443554260742898,2019,commendable,0,0,No,20.0,200
2007.12927v4,No,14987,11.856803797468354,2020,commendable,0,0,No,19.857142857142858,139
2111.11763v1,No,8027,12.236280487804878,2021,commendable,0,0,No,21.625,173
2103.01133v3,Yes,34671,8.106382978723405,2021,commendable,0,0,No,14.0,168
2208.09338v1,Yes,15114,11.716279069767442,2022,commendable,0,0,Yes,27.375,219
2303.09222v1,Yes,3828,4.73176761433869,2023,commendable,0,0,No,13.0,208
1105.2687v1,Yes,3642,11.206153846153846,2011,commendable,0,0,No,17.25,138
1112.1252v1,Yes,10461,13.948,2011,commendable,0,0,No,18.153846153846153,236
2102.12126v1,Yes,10352,12.353221957040573,2021,commendable,0,0,Yes,21.555555555555557,194
1105.2691v1,No,2823,8.42686567164179,2011,commendable,0,0,No,16.166666666666668,97
1305.7063v1,No,3546,17.21359223300971,2013,commendable,0,0,No,21.0,168
1405.5123v1,Yes,1320,11.785714285714286,2014,commendable,0,0,No,16.0,128
1105.6260v1,No,7048,12.089193825042882,2011,commendable,0,0,No,21.9,219
1311.7545v3,Yes,11082,17.67464114832536,2013,commendable,0,0,No,24.46153846153846,318
1306.1431v1,Yes,9681,9.72964824120603,2013,commendable,0,0,No,19.4,97
2307.00011v1,Yes,12382,10.795117698343503,2023,commendable,0,0,No,23.6,118
1602.04119v1,Yes,10555,11.423160173160174,2016,commendable,0,0,No,22.625,181
1503.04865v1,Yes,6221,9.766091051805338,2015,commendable,0,0,No,17.9,179
1703.02464v1,No,7334,6.925401322001888,2017,commendable,0,0,No,16.4,82
1303.1702v2,No,10914,13.693851944792971,2013,commendable,0,0,No,19.22222222222222,173
2406.18109v1,Yes,12717,11.571428571428571,2024,commendable,0,0,No,15.7,157
2406.18111v1,Yes,10999,14.101282051282052,2024,commendable,0,0,No,15.833333333333334,190
1006.5953v2,No,10729,12.150622876557192,2010,commendable,0,0,No,23.375,187
2404.14297v1,Yes,6569,6.864158829676071,2024,commendable,0,0,Yes,19.571428571428573,137
1203.0184v3,Yes,3253,11.959558823529411,2012,commendable,0,0,Yes,29.0,116
1406.1030v1,Yes,6477,12.928143712574853,2014,commendable,0,0,No,26.166666666666668,157
2002.07581v1,Yes,5580,12.857142857142858,2020,commendable,0,0,No,20.5,82
1804.01403v2,No,5808,6.675862068965517,2018,commendable,0,0,No,25.75,103
2011.07623v2,Yes,3893,5.609510086455331,2020,commendable,0,0,No,24.0,144
1901.08214v1,Yes,5177,8.925862068965516,2019,commendable,0,0,No,23.625,189
1906.09545v1,Yes,4722,5.772616136919315,2019,commendable,0,0,No,22.0,176
2202.08820v1,Yes,3754,8.649769585253456,2022,commendable,0,0,No,17.428571428571427,122
2402.08330v1,Yes,7049,7.091549295774648,2024,commendable,0,0,No,19.0,133
0708.3769v1,No,3036,6.979310344827586,2007,commendable,0,0,No,18.0,90
1007.0095v2,No,3134,6.783549783549783,2010,commendable,0,0,No,18.25,73
1303.1357v1,No,2660,6.734177215189874,2013,commendable,0,0,No,13.6,68
0903.5186v1,Yes,3632,12.228956228956228,2009,commendable,0,0,No,18.75,75
0910.1281v1,Yes,4532,8.392592592592592,2009,commendable,0,0,No,21.0,105
1807.09082v1,No,6381,13.51906779661017,2018,commendable,0,0,No,19.5,117
1208.2791v1,Yes,6840,11.23152709359606,2012,commendable,0,0,No,14.0,70
1704.08466v1,Yes,4391,15.909420289855072,2017,commendable,0,0,No,11.8,59
1809.02793v1,No,4023,6.095454545454546,2018,commendable,0,0,No,20.75,83
0804.2967v2,No,3626,7.617647058823529,2008,commendable,0,0,No,25.5,102
1905.08591v1,No,3420,6.368715083798882,2019,commendable,0,0,No,20.8,104
2110.09120v1,Yes,7395,7.25711481844946,2021,commendable,0,0,No,19.285714285714285,135
1506.04618v2,Yes,5998,7.023419203747072,2015,commendable,0,0,Yes,15.4,77
1910.08289v2,Yes,7836,7.923154701718908,2019,commendable,0,0,No,21.25,170
2303.03317v1,Yes,8459,6.985136251032205,2023,commendable,0,0,No,20.833333333333332,125
1512.04576v1,Yes,4275,5.929264909847434,2015,commendable,0,0,No,18.8,94
1905.01052v1,No,5945,10.197255574614063,2019,commendable,0,0,No,26.5,159
1602.00533v1,No,5426,6.545235223160434,2016,commendable,0,0,No,23.22222222222222,209
1602.03440v1,Yes,7678,11.291176470588235,2016,commendable,0,0,No,12.263157894736842,233
1710.10834v1,Yes,10818,8.373065015479876,2017,commendable,0,0,Yes,22.7,227
2002.09454v1,Yes,6855,9.709631728045323,2020,commendable,0,0,No,20.8,208
1612.08922v1,No,2646,14.302702702702703,2016,commendable,0,0,No,27.166666666666668,163
2201.09619v1,Yes,13167,9.555152394775035,2022,commendable,0,0,No,27.75,222
1611.03289v1,Yes,7678,7.818737270875764,2016,commendable,0,0,No,24.1,241
2010.00864v1,Yes,10296,9.143872113676732,2020,commendable,0,0,No,14.625,117
1206.1520v1,Yes,10431,6.742727860374919,2012,commendable,0,0,No,23.727272727272727,261
1805.00916v1,No,13501,6.608418991678904,2018,commendable,0,0,No,20.09090909090909,221
1804.09579v2,Yes,8636,11.60752688172043,2018,commendable,0,0,No,26.5,265
1803.05370v3,Yes,33576,6.783030303030303,2018,commendable,0,0,No,21.384615384615383,278
1802.04722v1,Yes,11604,11.343108504398828,2018,commendable,0,0,No,22.384615384615383,291
2201.09623v1,Yes,9481,11.395432692307692,2022,commendable,0,0,No,24.25,291
1901.01787v1,Yes,11664,11.42409402546523,2019,commendable,0,0,No,13.235294117647058,225
1912.10279v1,Yes,10472,12.422301304863582,2019,commendable,0,0,No,18.615384615384617,242
1406.0293v1,Yes,10175,11.023835319609969,2014,commendable,0,0,Yes,32.5,260
1601.00491v1,No,9496,11.224586288416075,2016,commendable,0,0,No,22.571428571428573,316
2006.02253v1,Yes,20858,5.785852981969486,2020,commendable,0,0,No,23.0,230
1707.00498v1,Yes,16644,12.803076923076922,2017,commendable,0,0,No,25.666666666666668,308
1909.11632v1,Yes,16769,9.399663677130045,2019,commendable,0,0,No,30.444444444444443,274
1109.2929v1,Yes,6198,16.310526315789474,2011,commendable,0,0,No,26.5,212
1507.03473v2,Yes,7972,10.116751269035532,2015,commendable,0,0,No,36.0,180
1503.06631v1,Yes,5205,12.452153110047847,2015,commendable,0,0,Yes,30.0,240
1902.06602v2,Yes,14413,13.271639042357274,2019,commendable,0,0,No,18.866666666666667,283
2007.14711v1,Yes,8058,8.645922746781116,2020,commendable,0,0,No,18.0,162
1712.07301v1,Yes,13635,7.791428571428572,2017,commendable,0,0,No,23.636363636363637,260
