PubDate,IDlist,TotalWords,Faculty,Year,Keyword,Count
2022-10-11 02:12:11+00:00,2210.05093v1,4125,Agrar- und Ernährungswissenschaftliche Fakultät,2022,commendable,0.0
2023-03-27 15:03:00+00:00,2303.15275v1,5462,Agrar- und Ernährungswissenschaftliche Fakultät,2023,commendable,0.0
2021-12-17 13:02:30+00:00,2112.09493v1,11368,Agrar- und Ernährungswissenschaftliche Fakultät,2021,commendable,0.0
2011-02-16 11:16:51+00:00,1102.3306v1,8101,Agrar- und Ernährungswissenschaftliche Fakultät,2011,commendable,0.0
2020-05-21 07:36:03+00:00,2005.10499v1,9450,Agrar- und Ernährungswissenschaftliche Fakultät,2020,commendable,0.0
2020-05-21 07:36:03+00:00,2005.10499v1,9450,Technische Fakultät,2020,commendable,0.0
2021-10-12 14:11:37+00:00,2110.06020v2,13554,Agrar- und Ernährungswissenschaftliche Fakultät,2021,commendable,0.0
2021-07-26 14:53:14+00:00,2107.12248v1,6481,Agrar- und Ernährungswissenschaftliche Fakultät,2021,commendable,0.0
2008-09-18 06:23:02+00:00,0809.3071v1,1680,Agrar- und Ernährungswissenschaftliche Fakultät,2008,commendable,0.0
2008-09-18 06:23:02+00:00,0809.3071v1,1680,Mathematisch-Naturwissenschaftliche Fakultät,2008,commendable,0.0
2019-06-03 10:45:08+00:00,1906.00695v4,15712,Agrar- und Ernährungswissenschaftliche Fakultät,2019,commendable,0.0
2020-07-25 13:23:37+00:00,2007.12927v4,14987,Agrar- und Ernährungswissenschaftliche Fakultät,2020,commendable,0.0
2021-11-23 10:18:41+00:00,2111.11763v1,8027,Agrar- und Ernährungswissenschaftliche Fakultät,2021,commendable,0.0
2021-03-01 17:08:35+00:00,2103.01133v3,34671,Agrar- und Ernährungswissenschaftliche Fakultät,2021,commendable,0.0
2022-08-19 13:39:23+00:00,2208.09338v1,15114,Technische Fakultät,2022,commendable,0.0
2022-08-19 13:39:23+00:00,2208.09338v1,15114,Agrar- und Ernährungswissenschaftliche Fakultät,2022,commendable,0.0
2023-03-16 10:56:24+00:00,2303.09222v1,3828,Agrar- und Ernährungswissenschaftliche Fakultät,2023,commendable,0.0
2011-05-13 11:07:56+00:00,1105.2687v1,3642,Mathematisch-Naturwissenschaftliche Fakultät,2011,commendable,0.0
2011-12-06 12:29:08+00:00,1112.1252v1,10461,Mathematisch-Naturwissenschaftliche Fakultät,2011,commendable,0.0
2021-02-24 08:40:53+00:00,2102.12126v1,10352,Mathematisch-Naturwissenschaftliche Fakultät,2021,commendable,0.0
2011-05-13 11:23:12+00:00,1105.2691v1,2823,Mathematisch-Naturwissenschaftliche Fakultät,2011,commendable,0.0
2013-05-30 11:09:19+00:00,1305.7063v1,3546,Mathematisch-Naturwissenschaftliche Fakultät,2013,commendable,0.0
2014-05-20 15:30:21+00:00,1405.5123v1,1320,Mathematisch-Naturwissenschaftliche Fakultät,2014,commendable,0.0
2011-05-31 12:55:26+00:00,1105.6260v1,7048,Mathematisch-Naturwissenschaftliche Fakultät,2011,commendable,0.0
2013-11-29 12:38:51+00:00,1311.7545v3,11082,Mathematisch-Naturwissenschaftliche Fakultät,2013,commendable,0.0
2013-06-06 15:13:00+00:00,1306.1431v1,9681,Mathematisch-Naturwissenschaftliche Fakultät,2013,commendable,0.0
2023-06-21 12:06:11+00:00,2307.00011v1,12382,Mathematisch-Naturwissenschaftliche Fakultät,2023,commendable,0.0
2023-06-21 12:06:11+00:00,2307.00011v1,12382,Technische Fakultät,2023,commendable,0.0
2016-02-12 16:58:43+00:00,1602.04119v1,10555,Mathematisch-Naturwissenschaftliche Fakultät,2016,commendable,0.0
2015-03-16 21:38:46+00:00,1503.04865v1,6221,Mathematisch-Naturwissenschaftliche Fakultät,2015,commendable,0.0
2017-03-07 16:42:19+00:00,1703.02464v1,7334,Mathematisch-Naturwissenschaftliche Fakultät,2017,commendable,0.0
2013-03-07 14:34:35+00:00,1303.1702v2,10914,Mathematisch-Naturwissenschaftliche Fakultät,2013,commendable,0.0
2024-06-26 06:51:43+00:00,2406.18109v1,12717,Mathematisch-Naturwissenschaftliche Fakultät,2024,commendable,0.0
2024-06-26 06:57:26+00:00,2406.18111v1,10999,Mathematisch-Naturwissenschaftliche Fakultät,2024,commendable,0.0
2010-06-30 19:17:26+00:00,1006.5953v2,10729,Mathematisch-Naturwissenschaftliche Fakultät,2010,commendable,0.0
2024-04-22 15:55:07+00:00,2404.14297v1,6569,Mathematisch-Naturwissenschaftliche Fakultät,2024,commendable,0.0
2012-03-01 13:55:09+00:00,1203.0184v3,3253,Mathematisch-Naturwissenschaftliche Fakultät,2012,commendable,0.0
2014-06-04 12:58:54+00:00,1406.1030v1,6477,Mathematisch-Naturwissenschaftliche Fakultät,2014,commendable,0.0
2020-02-18 14:31:52+00:00,2002.07581v1,5580,Mathematisch-Naturwissenschaftliche Fakultät,2020,commendable,0.0
2018-04-04 13:41:43+00:00,1804.01403v2,5808,Mathematisch-Naturwissenschaftliche Fakultät,2018,commendable,0.0
