Authors,PubDate,Title,Abstract,IDlist
"['Christian Jung', 'Claudia Redenbach']",2022-10-11T02:12:11Z,Crack Modeling via Minimum-Weight Surfaces in 3d Voronoi Diagrams,"  Shortest paths play an important role in mathematical modeling and image processing. Usually, shortest path problems are formulated on planar graphs that consist of vertices and weighted arcs. In this context, one is interested in finding a path of minimum weight from a start vertex to an end vertex. The concept of minimum-weight surfaces extends shortest paths to 3d. The minimum-weight surface problem is formulated on a cellular complex with weighted facets. A cycle on the arcs of the complex serves as input and one is interested in finding a surface of minimum weight bounded by that cycle. In practice, minimum-weight surfaces can be used to segment 3d images. Vice versa, it is possible to use them as a modeling tool for geometric structures such as cracks. In this work, we present an approach for using minimum-weight surfaces in bounded Voronoi diagrams to generate synthetic 3d images of cracks. ",2210.05093v1
"['Christian Jung', 'Claudia Redenbach']",2023-03-27T15:03:00Z,An Analytical Representation of the 2d Generalized Balanced Power   Diagram,"  Tessellations are an important tool to model the microstructure of cellular and polycrystalline materials. Classical tessellation models include the Voronoi diagram and Laguerre tessellation whose cells are polyhedra. Due to the convexity of their cells, those models may be too restrictive to describe data that includes possibly anisotropic grains with curved boundaries. Several generalizations exist. The cells of the generalized balanced power diagram are induced by elliptic distances leading to more diverse structures. So far, methods for computing the generalized balanced power diagram are restricted to discretized versions in the form of label images. In this work, we derive an analytic representation of the vertices and edges of the generalized balanced power diagram in 2d. Based on that, we propose a novel algorithm to compute the whole diagram. ",2303.15275v1
"['Tin Barisin', 'Christian Jung', 'Franziska Müsebeck', 'Claudia Redenbach', 'Katja Schladitz']",2021-12-17T13:02:30Z,Methods for segmenting cracks in 3d images of concrete: A comparison   based on semi-synthetic images,"  Concrete is the standard construction material for buildings, bridges, and roads. As safety plays a central role in the design, monitoring, and maintenance of such constructions, it is important to understand the cracking behavior of concrete. Computed tomography captures the microstructure of building materials and allows to study crack initiation and propagation. Manual segmentation of crack surfaces in large 3d images is not feasible. In this paper, automatic crack segmentation methods for 3d images are reviewed and compared. Classical image processing methods (edge detection filters, template matching, minimal path and region growing algorithms) and learning methods (convolutional neural networks, random forests) are considered and tested on semi-synthetic 3d images. Their performance strongly depends on parameter selection which should be adapted to the grayvalue distribution of the images and the geometric properties of the concrete. In general, the learning methods perform best, in particular for thin cracks and low grayvalue contrast. ",2112.09493v1
"['Christian Jung', 'Daniel Karch', 'Sebastian Knopp', 'Dennis Luxen', 'Peter Sanders']",2011-02-16T11:16:51Z,Efficient Error-Correcting Geocoding,  We study the problem of resolving a perhaps misspelled address of a location into geographic coordinates of latitude and longitude. Our data structure solves this problem within a few milliseconds even for misspelled and fragmentary queries. Compared to major geographic search engines such as Google or Bing we achieve results of significantly better quality. ,1102.3306v1
"['Johannes Brünger', 'Maria Gentz', 'Imke Traulsen', 'Reinhard Koch']",2020-05-21T07:36:03Z,Panoptic Instance Segmentation on Pigs,"  The behavioural research of pigs can be greatly simplified if automatic recognition systems are used. Especially systems based on computer vision have the advantage that they allow an evaluation without affecting the normal behaviour of the animals. In recent years, methods based on deep learning have been introduced and have shown pleasingly good results. Especially object and keypoint detectors have been used to detect the individual animals. Despite good results, bounding boxes and sparse keypoints do not trace the contours of the animals, resulting in a lot of information being lost. Therefore this work follows the relatively new definition of a panoptic segmentation and aims at the pixel accurate segmentation of the individual pigs. For this a framework of a neural network for semantic segmentation, different network heads and postprocessing methods is presented. With the resulting instance segmentation masks further information like the size or weight of the animals could be estimated. The method is tested on a specially created data set with 1000 hand-labeled images and achieves detection rates of around 95% (F1 Score) despite disturbances such as occlusions and dirty lenses. ",2005.10499v1
"[""Francesco D'Angelo"", 'Christian Henning']",2021-10-12T14:11:37Z,On out-of-distribution detection with Bayesian neural networks,"  The question whether inputs are valid for the problem a neural network is trying to solve has sparked interest in out-of-distribution (OOD) detection. It is widely assumed that Bayesian neural networks (BNNs) are well suited for this task, as the endowed epistemic uncertainty should lead to disagreement in predictions on outliers. In this paper, we question this assumption and show that proper Bayesian inference with function space priors induced by neural networks does not necessarily lead to good OOD detection. To circumvent the use of approximate inference, we start by studying the infinite-width case, where Bayesian inference can be exact due to the correspondence with Gaussian processes. Strikingly, the kernels derived from common architectural choices lead to function space priors which induce predictive uncertainties that do not reflect the underlying input data distribution and are therefore unsuited for OOD detection. Importantly, we find the OOD behavior in this limiting case to be consistent with the corresponding finite-width case. To overcome this limitation, useful function space properties can also be encoded in the prior in weight space, however, this can currently only be applied to a specified subset of the domain and thus does not inherently extend to OOD data. Finally, we argue that a trade-off between generalization and OOD capabilities might render the application of BNNs for OOD detection undesirable in practice. Overall, our study discloses fundamental problems when naively using BNNs for OOD detection and opens interesting avenues for future research. ",2110.06020v2
"['Christian Henning', ""Francesco D'Angelo"", 'Benjamin F. Grewe']",2021-07-26T14:53:14Z,Are Bayesian neural networks intrinsically good at out-of-distribution   detection?,"  The need to avoid confident predictions on unfamiliar data has sparked interest in out-of-distribution (OOD) detection. It is widely assumed that Bayesian neural networks (BNN) are well suited for this task, as the endowed epistemic uncertainty should lead to disagreement in predictions on outliers. In this paper, we question this assumption and provide empirical evidence that proper Bayesian inference with common neural network architectures does not necessarily lead to good OOD detection. To circumvent the use of approximate inference, we start by studying the infinite-width case, where Bayesian inference can be exact considering the corresponding Gaussian process. Strikingly, the kernels induced under common architectural choices lead to uncertainties that do not reflect the underlying data generating process and are therefore unsuited for OOD detection. Finally, we study finite-width networks using HMC, and observe OOD behavior that is consistent with the infinite-width case. Overall, our study discloses fundamental problems when naively using BNNs for OOD detection and opens interesting avenues for future research. ",2107.12248v1
"['Jeffrey Wrighton', 'James Dufty', 'Christian Henning', 'Michael Bonitz']",2008-09-18T06:23:02Z,Linear Response for Confined Particles,  The dynamics of fluctuations is considered for electrons near a positive ion or for charges in a confining trap. The stationary nonuniform equilibrium densities are discussed and contrasted. The linear response function for small perturbations of this nonuniform state is calculated from a linear Markov kinetic theory whose generator for the dynamics is exact in the short time limit. The kinetic equation is solved in terms of an effective mean field single particle dynamics determined by the local density and dynamical screening by a dielectric function for the non-uniform system. The autocorrelation function for the total force on the charges is discussed. ,0809.3071v1
"['Johannes von Oswald', 'Christian Henning', 'Benjamin F. Grewe', 'João Sacramento']",2019-06-03T10:45:08Z,Continual learning with hypernetworks,"  Artificial neural networks suffer from catastrophic forgetting when they are sequentially trained on multiple tasks. To overcome this problem, we present a novel approach based on task-conditioned hypernetworks, i.e., networks that generate the weights of a target model based on task identity. Continual learning (CL) is less difficult for this class of models thanks to a simple key feature: instead of recalling the input-output relations of all previously seen data, task-conditioned hypernetworks only require rehearsing task-specific weight realizations, which can be maintained in memory using a simple regularizer. Besides achieving state-of-the-art performance on standard CL benchmarks, additional experiments on long task sequences reveal that task-conditioned hypernetworks display a very large capacity to retain previous memories. Notably, such long memory lifetimes are achieved in a compressive regime, when the number of trainable hypernetwork weights is comparable or smaller than target network size. We provide insight into the structure of low-dimensional task embedding spaces (the input space of the hypernetwork) and show that task-conditioned hypernetworks demonstrate transfer learning. Finally, forward information transfer is further supported by empirical results on a challenging CL benchmark based on the CIFAR-10/100 image datasets. ",1906.00695v4
"['Johannes von Oswald', 'Seijin Kobayashi', 'Alexander Meulemans', 'Christian Henning', 'Benjamin F. Grewe', 'João Sacramento']",2020-07-25T13:23:37Z,Neural networks with late-phase weights,"  The largely successful method of training neural networks is to learn their weights using some variant of stochastic gradient descent (SGD). Here, we show that the solutions found by SGD can be further improved by ensembling a subset of the weights in late stages of learning. At the end of learning, we obtain back a single model by taking a spatial average in weight space. To avoid incurring increased computational costs, we investigate a family of low-dimensional late-phase weight models which interact multiplicatively with the remaining parameters. Our results show that augmenting standard models with late-phase weights improves generalization in established benchmarks such as CIFAR-10/100, ImageNet and enwik8. These findings are complemented with a theoretical analysis of a noisy quadratic problem which provides a simplified picture of the late phases of neural network learning. ",2007.12927v4
